id,title,popularity,release_date,overview,original_title,vote_count,vote_average
574475,Final Destination Bloodlines,629.4584,2025-05-14,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",Final Destination Bloodlines,1356,7.183
552524,Lilo & Stitch,400.0713,2025-05-17,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,Lilo & Stitch,733,7.095
1311844,The Twisters,348.0535,2024-06-28,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",The Twisters,42,6.0
605722,Distant,291.4148,2024-07-12,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",Distant,142,6.3
1090007,First Shift,305.7355,2024-08-30,"NYPD veteran Mike and rookie Angela tackle a high-stakes day on New York's toughest streets, diving headfirst into a vortex of danger and action. Their adrenaline-fueled pursuits and unexpected threats unfold as they navigate perilous encounters. Amidst the chaos, intense challenges forge unbreakable bonds.",First Shift,23,5.391
803796,KPop Demon Hunters,298.5944,2025-06-20,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",KPop Demon Hunters,267,8.618
1087192,How to Train Your Dragon,285.674,2025-06-06,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",How to Train Your Dragon,463,7.929
1442776,Crazy Lizard,252.3586,2024-03-27,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island.",Kuang Bao Ju Xi,19,6.053
1100988,28 Years Later,246.7163,2025-06-18,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",28 Years Later,367,7.149
1181039,Candle in the Tomb: The Worm Valley,205.5486,2023-09-22,"Adapted from the 3rd volume in the novel series ""Candle in the Tomb"" by Zhang Mu Ye. Hu Bayi, Wang Kaixuan, and Shiely Yang, infected with a curse, embark on a journey to King Xian's tomb to retrieve the Haochen Bead and break the curse. They face ancient organs, ghostly visions, explosive bugs, and a massive salamander.",鬼吹灯：献王虫谷,19,6.7
